epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3851,1.12727,3.25733,1.62524,0.23759,0.29588,0.23188,0.14976,1.45816,2.54102,1.79296,0.000236312,0.000236312,0.000236312
2,106.417,1.07136,2.33315,1.51707,0.37125,0.30727,0.28456,0.2006,1.31806,2.48884,1.8011,0.000464921,0.000464921,0.000464921
3,159.995,1.0809,2.11429,1.51104,0.38071,0.45214,0.37585,0.23501,1.39516,2.33765,1.81104,0.000684104,0.000684104,0.000684104
4,216.916,1.07522,1.93154,1.49869,0.65736,0.30337,0.35334,0.24972,1.40341,2.23986,1.72542,0.000671588,0.000671588,0.000671588
5,278.787,1.03762,1.76809,1.47013,0.46972,0.45466,0.42569,0.29935,1.30752,2.08704,1.67097,0.000657451,0.000657451,0.000657451
6,343.1,1.04421,1.68024,1.47649,0.43876,0.29875,0.26023,0.16424,1.34889,2.50384,1.66772,0.000643314,0.000643314,0.000643314
7,406.985,0.99244,1.54092,1.42659,0.5103,0.48203,0.48043,0.33127,1.24676,1.86641,1.52691,0.000629177,0.000629177,0.000629177
8,476.785,0.94937,1.47072,1.4111,0.43521,0.42683,0.41103,0.29614,1.22348,1.99074,1.54693,0.00061504,0.00061504,0.00061504
9,550.366,0.9431,1.40294,1.39726,0.57941,0.5273,0.4982,0.36143,1.19647,1.74933,1.5285,0.000600902,0.000600902,0.000600902
10,624.498,0.93699,1.34987,1.39277,0.56008,0.43345,0.46395,0.32421,1.23897,1.76478,1.52963,0.000586765,0.000586765,0.000586765
11,699.836,0.90761,1.2906,1.36481,0.58678,0.4566,0.5037,0.36072,1.19128,1.66113,1.50907,0.000572628,0.000572628,0.000572628
12,776.944,0.897,1.24307,1.35582,0.49627,0.45835,0.45797,0.31996,1.13942,1.90315,1.47745,0.000558491,0.000558491,0.000558491
13,855.728,0.88906,1.20108,1.34738,0.52075,0.46705,0.47002,0.34384,1.14583,1.87479,1.49264,0.000544354,0.000544354,0.000544354
14,934.001,0.87334,1.17049,1.33087,0.66311,0.48953,0.55094,0.39584,1.14732,1.51248,1.45316,0.000530216,0.000530216,0.000530216
15,1014.78,0.85641,1.14693,1.32324,0.56018,0.47552,0.50626,0.36285,1.18478,1.68005,1.49949,0.000516079,0.000516079,0.000516079
16,1097.01,0.84931,1.09695,1.32088,0.64962,0.48761,0.55145,0.4062,1.09472,1.51594,1.41117,0.000501942,0.000501942,0.000501942
17,1181.23,0.83867,1.10005,1.31154,0.6377,0.51846,0.56045,0.42605,1.0865,1.45113,1.41918,0.000487805,0.000487805,0.000487805
18,1261.92,0.84848,1.07086,1.31063,0.64129,0.55919,0.57682,0.4302,1.12031,1.39744,1.46995,0.000473668,0.000473668,0.000473668
19,1343.65,0.81059,1.03112,1.29247,0.61289,0.55509,0.58063,0.42731,1.12218,1.38631,1.43937,0.00045953,0.00045953,0.00045953
20,1427.81,0.79129,0.98242,1.26914,0.56022,0.55673,0.54968,0.40949,1.05594,1.3365,1.4133,0.000445393,0.000445393,0.000445393
21,1512.71,0.82629,1.00167,1.28283,0.64235,0.55593,0.5906,0.45924,1.06526,1.3365,1.40552,0.000431256,0.000431256,0.000431256
22,1596.96,0.78781,0.9667,1.2619,0.67357,0.52215,0.58918,0.44373,1.03435,1.31927,1.38465,0.000417119,0.000417119,0.000417119
23,1681.33,0.76907,0.93255,1.24843,0.70274,0.47822,0.56549,0.42172,1.06348,1.41202,1.43685,0.000402982,0.000402982,0.000402982
24,1763.6,0.76439,0.90087,1.25521,0.62206,0.54169,0.567,0.41526,1.0772,1.39666,1.41295,0.000388844,0.000388844,0.000388844
25,1846.86,0.75814,0.90834,1.24605,0.70417,0.55266,0.60227,0.44475,1.02269,1.27713,1.36686,0.000374707,0.000374707,0.000374707
26,1926.87,0.74632,0.87363,1.23833,0.7307,0.54709,0.61456,0.46507,1.04471,1.20262,1.395,0.00036057,0.00036057,0.00036057
27,2009.24,0.74022,0.86541,1.23643,0.73172,0.53681,0.62127,0.46662,1.00993,1.22522,1.40652,0.000346433,0.000346433,0.000346433
28,2091.55,0.71919,0.82842,1.21915,0.64464,0.5488,0.57815,0.42052,1.04773,1.31581,1.39542,0.000332296,0.000332296,0.000332296
29,2169.12,0.72129,0.81483,1.21182,0.69227,0.55925,0.59775,0.44813,1.02108,1.28124,1.40397,0.000318158,0.000318158,0.000318158
30,2252.71,0.70222,0.80475,1.2,0.6753,0.57626,0.60833,0.46084,1.0124,1.2823,1.3919,0.000304021,0.000304021,0.000304021
31,2335.98,0.68389,0.78207,1.19421,0.66362,0.56406,0.60048,0.45769,1.00059,1.20079,1.38902,0.000289884,0.000289884,0.000289884
32,2411.2,0.69224,0.76804,1.19547,0.65233,0.61673,0.62218,0.46522,1.01036,1.26751,1.38913,0.000275747,0.000275747,0.000275747
33,2493.14,0.66865,0.7465,1.18562,0.6951,0.57824,0.61211,0.46332,0.97327,1.26257,1.36212,0.00026161,0.00026161,0.00026161
34,2574.75,0.67506,0.75355,1.18752,0.70035,0.60502,0.63113,0.46785,1.01653,1.23583,1.42721,0.000247472,0.000247472,0.000247472
35,2655.1,0.65704,0.7138,1.17261,0.7377,0.60033,0.63707,0.4895,0.96848,1.12406,1.34661,0.000233335,0.000233335,0.000233335
36,2737.71,0.64767,0.70609,1.16683,0.71595,0.58989,0.61421,0.46806,0.9972,1.14312,1.38875,0.000219198,0.000219198,0.000219198
37,2821.65,0.64902,0.69973,1.16731,0.64141,0.59704,0.61356,0.47421,0.97374,1.1801,1.37932,0.000205061,0.000205061,0.000205061
38,2898.84,0.63961,0.69652,1.15664,0.72659,0.60742,0.6418,0.49305,0.95963,1.07191,1.34745,0.000190924,0.000190924,0.000190924
39,2975.35,0.63183,0.67546,1.15732,0.68565,0.63866,0.66723,0.51326,0.93266,1.0462,1.34728,0.000176786,0.000176786,0.000176786
40,3055.13,0.63404,0.66588,1.15407,0.75426,0.60139,0.64046,0.49365,0.97777,1.13414,1.40121,0.000162649,0.000162649,0.000162649
41,3158.08,0.61387,0.54819,1.14352,0.73418,0.59861,0.63647,0.48839,0.95619,1.09104,1.37648,0.000148512,0.000148512,0.000148512
42,3242.28,0.58259,0.49032,1.11903,0.71318,0.60231,0.63196,0.48934,0.93708,1.11486,1.35332,0.000134375,0.000134375,0.000134375
43,3326.58,0.57049,0.48545,1.10985,0.7177,0.62799,0.64907,0.49932,0.94422,1.10678,1.37996,0.000120238,0.000120238,0.000120238
44,3409.39,0.55944,0.47009,1.10338,0.70905,0.63377,0.65832,0.50638,0.93432,1.02836,1.3748,0.0001061,0.0001061,0.0001061
45,3497.9,0.54704,0.43795,1.09154,0.73494,0.59293,0.64588,0.5008,0.90749,1.057,1.35989,9.19632e-05,9.19632e-05,9.19632e-05
46,3586.55,0.53289,0.42821,1.08503,0.78348,0.58213,0.65533,0.51354,0.91761,1.03493,1.39049,7.7826e-05,7.7826e-05,7.7826e-05
47,3675.06,0.52078,0.41626,1.0774,0.74129,0.61779,0.66263,0.51552,0.90951,1.04583,1.35753,6.36888e-05,6.36888e-05,6.36888e-05
48,3766.18,0.50855,0.40373,1.06118,0.72096,0.64123,0.67096,0.5165,0.92653,1.01104,1.39159,4.95516e-05,4.95516e-05,4.95516e-05
49,3856.65,0.5051,0.40214,1.06037,0.74762,0.62907,0.66055,0.51356,0.90928,1.01891,1.37011,3.54144e-05,3.54144e-05,3.54144e-05
50,3945.13,0.49469,0.38429,1.04371,0.776,0.61625,0.66799,0.517,0.90483,1.01495,1.37825,2.12772e-05,2.12772e-05,2.12772e-05
